date	commit	md5_zcc2s	elisions	toolchain	uname	comment
2026-07-10T00:16:24Z	8ed3a04	ba289f82c08fbcf57a052bd9aaa703ef	18140	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.18.5 x86_64	initial locked baseline
2026-07-10T00:20:16Z	8ed3a04	ba289f82c08fbcf57a052bd9aaa703ef	18140	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.18.5 x86_64	duplicate run
2026-07-10T00:48:30Z	8ed3a043	ba289f82c08fbcf57a052bd9aaa703ef	18140	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.6.123.2-microsoft-standard-WSL2+ x86_64	abbrev width pin
2026-07-10T05:18:08Z	134ccc3a	ba289f82c08fbcf57a052bd9aaa703ef	18140	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.6.123.2-microsoft-standard-WSL2+ x86_64	documentation chore
2026-07-10T08:51:42Z	bf460308	bfafec62c1f82b1c888341b3ab8a969b	18142	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.6.123.2-microsoft-standard-WSL2+ x86_64	post-Lua/part3.c struct-tag-shadow fix
REWRITE	37d34e76	[history-rewrite]	-	git filter-repo	Linux 6.6.123.2-microsoft-standard-WSL2+ x86_64
2026-07-10T09:11:05Z	37d34e76	bfafec62c1f82b1c888341b3ab8a969b	18142	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.6.123.2-microsoft-standard-WSL2+ x86_64	post-filter-repo history rewrite
2026-07-10T09:41:03Z	548f8ace	bfafec62c1f82b1c888341b3ab8a969b	18142	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.6.123.2-microsoft-standard-WSL2+ x86_64	post-SQLite integration
2026-07-10T11:06:56Z	bc32b5d3	b627bbea680d7157641b72a123b6667f	18142	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.6.123.2-microsoft-standard-WSL2+ x86_64	fix: make token_name global for individual part3.c compilation
2026-07-25T08:20:01Z	3535898d	8a7abd473ceb1cd272734a59fc3de46e	18609	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.18.33.2-microsoft-standard-WSL2 x86_64	gates: prime_v2_regalloc_opt pass baseline
2026-07-25T09:14:29Z	5a321d5c	8a7abd473ceb1cd272734a59fc3de46e	18609	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.18.33.2-microsoft-standard-WSL2 x86_64	
2026-07-25T09:17:20Z	5a321d5c	8a7abd473ceb1cd272734a59fc3de46e	18609	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.18.33.2-microsoft-standard-WSL2 x86_64	
2026-07-26T07:15:51Z	1c2832cd	130ad64ec7cacd4bc226e12017f8c4a6	18609	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.18.33.2-microsoft-standard-WSL2 x86_64	baseline update
2026-07-26T07:18:38Z	1c2832cd	130ad64ec7cacd4bc226e12017f8c4a6	18609	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0	Linux 6.18.33.2-microsoft-standard-WSL2 x86_64	locked baseline
